accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE318178,Microglial NUS1 deficiency drives dopaminergic neurodegeneration by activation of the LCN2/SLC22A17 axis-mediated iron transport II,Mus musculus,6,2026/03/11,False,Expression profiling by high throughput sequencing,"The mechanisms underlying selective loss of dopaminergic (DAergic) neurons in substantia nigra pars compacta in Parkinson’s disease (PD) remain unclear. The NUS1 gene, encoding NgBR, has recently been identified as a novel PD risk gene. Here, we show that NgBR is highly expressed in microglia, and microglia-specific NgBR deficiency drives progressive PD-like motor deficits and DAergic neurodegeneration via lipocalin-2 (LCN2)/SLC22A17 axis-mediated iron transport. NgBR deficiency in microglia triggers endoplasmic reticulum stress and PERK-ATF4-NUPR1 pathway to selectively upregulate LCN2-mediated iron efflux rather than cytokines. Strikingly, microglia-derived iron-loaded Holo-LCN2 but not iron-free Apo-LCN2 is internalized by SLC22A17, a receptor we identified as specifically highly expressed in DAergic neurons that induces iron overload/ferroptosis. Pharmacological inhibition of the LCN2/SLC22A17 axis or ferroptosis alleviate DAergic neuron loss and PD-like symptoms caused by microglial NgBR deficiency in vitro and in vivo. Our findings establish intercellular iron homeostasis imbalance as a selective pathological driver in PD and highlight the LCN2/SLC22A17 axis for specific therapeutic targeting.",Parkinson's disease AND substantia nigra AND RNA-seq
GSE301569,Microglial NUS1 deficiency drives dopaminergic neurodegeneration by activation of the LCN2/SLC22A17 axis-mediated iron transport,Mus musculus,9,2026/03/11,False,Expression profiling by high throughput sequencing,"The mechanisms underlying selective loss of dopaminergic (DAergic) neurons in substantia nigra pars compacta in Parkinson’s disease (PD) remain unclear. The NUS1 gene, encoding NgBR, has recently been identified as a novel PD risk gene. Here, we show that NgBR is highly expressed in microglia, and microglia-specific NgBR deficiency drives progressive PD-like motor deficits and DAergic neurodegeneration via lipocalin-2 (LCN2)/SLC22A17 axis-mediated iron transport. NgBR deficiency in microglia triggers endoplasmic reticulum stress and PERK-ATF4-NUPR1 pathway to selectively upregulate LCN2-mediated iron efflux rather than cytokines. Strikingly, microglia-derived iron-loaded Holo-LCN2 but not iron-free Apo-LCN2 is internalized by SLC22A17, a receptor we identified as specifically highly expressed in DAergic neurons that induces iron overload/ferroptosis. Pharmacological inhibition of the LCN2/SLC22A17 axis or ferroptosis alleviate DAergic neuron loss and PD-like symptoms caused by microglial NgBR deficiency in vitro and in vivo. Our findings establish intercellular iron homeostasis imbalance as a selective pathological driver in PD and highlight the LCN2/SLC22A17 axis for specific therapeutic targeting.",Parkinson's disease AND substantia nigra AND RNA-seq
GSE324430,Promoter mutagenesis and a massively parallel reporter screen of the MAPT locus identifies cis-regulatory elements and genetic variation effects [RNA-seq],Homo sapiens,88,2026/03/10,False,Expression profiling by high throughput sequencing,"Tau neurofibrillary tangles are a hallmark of several neurodegenerative diseases called tauopathies, including frontotemporal dementia and Alzheimer's Disease. Ongoing clinical trials for tauopathies seek to reduce Tau in the brain through immunotherapy, antisense oligonucleotides, and siRNA. MAPT codes for Tau, therefore understanding how the MAPT gene is regulated and the effect of genetic variation at its regulatory elements is likely to have high relevance for tauopathies. We screened a ~3 Mb region including the MAPT locus using 2 different massively parallel reporter assay (MPRA) strategies in KOLF2.1J h-NGN2 neurons and HEK293FT cells, identifying previously unannotated cis-regulatory elements (CREs). Using CRISPR interference (CRISPRi) in mixed neuron cultures, we identified a new CRE for MAPT, as well as 2 CREs for another nearby gene of interest, KANSL1. Known genetic variation from the Alzheimer's Disease sequencing project was tested in a separate MPRA at the top CREs near the MAPT gene, identifying variants with altered regulatory effects including those at previously identified CREs for MAPT. Using a saturation mutagenesis screen of a 2,000 bp region encompassing the MAPT promoter, we assessed regulatory effects of each possible single nucleotide variant in this region. We identified several neuron-specific regulatory variant effects at this region, including a high confidence binding site for the transcription factors EGR2, ZBTB14 and TCLF5 at a region of high MPRA activity and genetic conservation.",Alzheimer's disease AND single cell AND RNA-seq
GSE309057,PMEPA1 mediates resistance to mTOR inhibitors in triple-negative breast cancer via dual modulation of TGF-β signaling and PI3K/AKT activation,Homo sapiens,6,2026/03/06,False,Expression profiling by high throughput sequencing,"Acquired resistance to mammalian target of rapamycin inhibitors (mTORi) severely limits their clinical efficacy in triple-negative breast cancer (TNBC), a subtype devoid of targeted therapeutic options. To model acquired resistance, we established two mTORi-resistant TNBC cell lines, MDA-MB-231/DREVE and MDA-MB-231/DRRIDA, through chronic exposure to everolimus and ridaforolimus, respectively. These resistant cells exhibited sustained mTOR signaling, evasion of G1 arrest, enhanced migratory potential, and anchorage-independent growth. Transcriptome profiling by whole RNA Sequencing coupled with GSEA analyses revealed convergent activation of the PI3K/AKT axis and upregulation of TGF-β and KRAS signaling, alongside suppression of IL-2-mediated responses. Integrative analysis identified PMEPA1, a known modulator of TGF-β signaling, as a key driver of resistance. PMEPA1 expression was elevated in resistant cells and correlated with poor survival in TNBC patients. We demonstrated that PMEPA1 confers resistance to mTORi by suppressing canonical SMAD signaling while promoting activation of the PI3K/AKT/mTOR pathway through PTEN downregulation. Targeted silencing of PMEPA1 restored drug sensitivity, reversed epithelial–mesenchymal transition (EMT), and impaired stem-like properties. Pharmacological inhibition of upstream TGF-β signaling with galunisertib downregulated PMEPA1 and synergistically restored mTORi sensitivity in in-vitro and xenograft models, leading to significant tumor regression. Histological analysis confirmed reduced proliferation, angiogenesis, and PMEPA1 expression while necrotic foci increased in combination treated tumors. These findings establish PMEPA1 as a dual modulator of canonical and non-canonical TGF-β signaling, and a critical mediator of mTORi resistance in TNBC. Targeting the TGF-β/PMEPA1 axis represents a promising strategy to overcome resistance and improve outcomes in patients with mTORi-refractory TNBC",prion disease AND transcriptome
GSE291332,Astrocyte-mediated neuroimmune signaling and extracellular matrix regulation in depression and antidepressant response,Homo sapiens,27,2026/03/06,False,Expression profiling by high throughput sequencing,"Major depressive disorder (MDD) is a debilitating condition that imposes a significant burden on global health, with many patients developing treatment-resistant depression (TRD) despite available interventions. Personalized medicine, which tailors treatment based on individual molecular profiles, offers a promising strategy to address this challenge. The primary objective of this study was to elucidate astrocyte-specific mechanisms underlying differential responses to selective serotonin reuptake inhibitors (SSRIs) in MDD and to identify potential therapeutic targets for overcoming treatment resistance. Astrocytes, key regulators of neurotransmitter metabolism, synaptic activity, and neuroimmune responses, have increasingly been implicated in the pathophysiology of depression. To investigate these processes, we employed human-induced pluripotent stem cell (hiPSC) technology to generate astrocytes from SSRI-responsive patients, SSRI-nonresponsive patients, and healthy controls, thereby capturing patient-specific genetic and epigenetic variations in an in vitro platform. Comprehensive transcriptomic profiling, differential gene expression, and coexpression network analyses revealed distinct patterns in immune signaling, extracellular matrix remodeling, and cell cycle regulation between responders and nonresponders, while transcription factor assessments further indicated altered unfolded protein response signaling in nonresponders. Complementary LINCS-based computational screening identified FDA-approved antidepressants and novel repurposing candidates that counteract the pathological astrocyte states observed in nonresponders. Collectively, these results lay the groundwork for leveraging patient-specific astrocyte models to develop innovative, astrocyte-focused interventions for TRD, although further in vivo validation and larger-scale studies are warranted.",major depressive disorder AND RNA-seq
GSE322929,Parkinson’s Disease-Associated Pink1 Loss Disrupts Ensheathing Glia And Causes Dopaminergic Neuron Synapse Loss,Drosophila melanogaster,18,2026/03/05,False,Expression profiling by high throughput sequencing,"Parkinson’s disease (PD) is commonly associated with the loss of dopaminergic neurons in the substantia nigra, but many other cell types are affected even before neuron loss occurs. Recent studies have linked oligodendrocytes to early stages of PD, though their precise role is still unclear. PINK1 is mutated in familial PD, and through unbiased single-cell sequencing of the entire brain of Drosophila Pink1 models, we observed significant gene deregulation in ensheathing glia (EG); cells that share functional similarities with oligodendrocytes. We found that the loss of Pink1 leads to abnormalities in EG, similar to the reactive response of EG seen upon nerve injury. Using cell-type-specific transcriptomics, we identified deregulated genes in EG as potential functional modifiers. Specifically downregulating two trafficking factors in EG, Vps35 and Vps13, also mutated in PD, was sufficient to rescue neuronal function and protect against dopaminergic synapse loss. Our findings demonstrate that Pink1 loss in neurons triggers an injury-like response in EG, and that Pink1 loss in EG in turn disrupts neuronal function. Vesicle trafficking components, which may regulate membrane interactions between organelles in EG, seem to play a role in maintaining neuronal health and ultimately preventing dopaminergic synapse loss. Our work highlights the essential role of glial support cells in the pathogenesis of PD and identifies vesicle trafficking within these cells in disease progression.",Parkinson's disease AND substantia nigra AND RNA-seq
GSE308024,The SETDB2/KLF4/IDE/CGRP signaling axis in sensory neurons involved in migraine [SETDB2-up],Mus musculus,6,2026/02/28,False,Expression profiling by high throughput sequencing,"The persistent headaches characteristic of chronic migraine may stem from the activation and sensitization of primary afferent neurons within the trigeminovascular pathway. The molecular basis for this pathophysiology, however, remains incompletely understood. In this study, we demonstrated that SETDB2, a histone methyltransferase expressed in trigeminal ganglion (TG) neurons, plays a pivotal role in facilitating migraine-associated pain behaviors. We modelled chronic headache with repeated administration of nitroglycerin (NTG, a well-recognized migraine trigger in migraineurs) and observed a notable upregulation of SETDB2 in mouse TG neurons following NTG treatment. A comparable increase was also identified in the cerebrospinal fluid of migraine sufferers. Reversing the NTG-induced SETDB2 upregulation abrogated the increased trimethylation of histone H3K9 (H3K9me3) and alleviated established migraine-associated pain behaviors. Conversely, mimicking the upregulation of SETDB2 in intact TG neurons was sufficient to induce pain hypersensitivity. Moreover, we found that SETDB2 upregulation induced by NTG prevented the binding of the transcription factor KLF4 to the promoter of the insulin-degrading enzyme (Ide) gene. This, in turn, inhibited IDE expression, and hindered the degradation of calcitonin- gene-related peptide (CGRP), a promising target for preventing migraine, in TG neurons. Targeting the sensory SETDB2-KLF4-IDE transcriptional axis may present novel therapeutic opportunities for treating migraine.",migraine AND gene expression
GSE308023,The SETDB2/KLF4/IDE/CGRP signaling axis in sensory neurons controls migraine [NTG],Mus musculus,6,2026/02/28,False,Expression profiling by high throughput sequencing,"The persistent headaches characteristic of chronic migraine may stem from the activation and sensitization of primary afferent neurons within the trigeminovascular pathway. The molecular basis for this pathophysiology, however, remains incompletely understood. In this study, we demonstrated that SETDB2, a histone methyltransferase expressed in trigeminal ganglion (TG) neurons, plays a pivotal role in facilitating migraine-associated pain behaviors. We modelled chronic headache with repeated administration of nitroglycerin (NTG, a well-recognized migraine trigger in migraineurs) and observed a notable upregulation of SETDB2 in mouse TG neurons following NTG treatment. A comparable increase was also identified in the cerebrospinal fluid of migraine sufferers. Reversing the NTG-induced SETDB2 upregulation abrogated the increased trimethylation of histone H3K9 (H3K9me3) and alleviated established migraine-associated pain behaviors. Conversely, mimicking the upregulation of SETDB2 in intact TG neurons was sufficient to induce pain hypersensitivity. Moreover, we found that SETDB2 upregulation induced by NTG prevented the binding of the transcription factor KLF4 to the promoter of the insulin-degrading enzyme (Ide) gene. This, in turn, inhibited IDE expression, and hindered the degradation of calcitonin- gene-related peptide (CGRP), a promising target for preventing migraine, in TG neurons. Targeting the sensory SETDB2-KLF4-IDE transcriptional axis may present novel therapeutic opportunities for treating migraine.",migraine AND gene expression
GSE319230,Metformin reduces RAN proteins and rescues molecular and behavioral phenotypes in SCA8 mice,Mus musculus,12,2026/02/24,False,Expression profiling by high throughput sequencing,"Spinocerebellar ataxia type 8 (SCA8) is a member of a group of dominantly inherited, debilitating neurological diseases caused by CAG•CTG expansions for which there are no effective disease-targeting treatments. RAN translation, which was discovered in SCA8, has previously been shown to occur across CAG and CUG expansion transcripts, making treatments that work for SCA8 potentially relevant to a broader group of diseases, including SCA1, 2, 3, 6, 7, 12, Huntington’s Disease (HD), Fuch’s endothelial corneal dystrophy (FECD), and myotonic dystrophy type 1 (DM1). Additionally, CUG and CAG expansion transcripts have been reported to cause RNA gain-of-function effects. In C9orf72 ALS/FTD mice, we previously showed that metformin reduced RAN protein levels and improved behavior and neurological phenotypes. Using SCA8 BAC transgenic mice as a model for CAG•CTG expansion diseases, we now show that metformin improves ambulatory performance using rotarod, DigiGait, and open-field measures. At the molecular level, metformin-treated mice showed reduced RAN protein levels and improved alternative splicing abnormalities without changing the levels of the expanded RNAs. Metformin-treated mice also showed decreased neuroinflammation, with reduced astrogliosis and fewer activated microglia. These data provide strong preclinical support for testing metformin in clinical trials for SCA8 and potentially the broader group of CAG•CTG repeat expansion disorders.",spinocerebellar ataxia AND RNA-seq
GSE310931,C9orf72 Hexanucleotide Repeat RNA Drives Transcriptional Dysregulation Through Genome-wide Hybrid G-quadruplexes [RNA-Seq],Homo sapiens,8,2026/02/24,False,Expression profiling by high throughput sequencing,"A hexanucleotide repeat expansion in C9orf72 is the most common genetic cause of amyotrophic lateral sclerosis and frontotemporal dementia. While repeat RNAs are implicated in disease pathogenesis, their mechanisms of actions remain incompletely understood. Here we show that GGGGCC repeat RNA engages chromatin genome-wide preferentially at promoter regions in patient cells. This interaction obstructs RNA polymerase II and transcription factors with GC-rich motifs, leading to broad transcriptional repression. Biochemical assays, single-molecule imaging, and native bisulfite sequencing analyses demonstrate that GGGGCC repeat RNA intrinsically forms DNA:RNA hybrid G-quadruplexes with cognate DNA, providing a structural basis for transcriptional interference. Stabilization of these G-quadruplex structures exacerbates neuronal vulnerability to metabolic stress in patient-derived motor neurons and cortical organoids, whereas restoring key gene dysregulation improves neuronal resistance to stress. These findings uncover a previously unrecognized trans-acting mechanism whereby repetitive RNAs form hybrid structures with genomic DNA, disrupt gene regulation, and contribute to neurodegeneration.",frontotemporal dementia AND RNA-seq
GSE319822,RNA-seq analysis of mouse spinal cord after contusion injury with Syringin treatment,Mus musculus,6,2026/02/24,False,Expression profiling by high throughput sequencing,"We performed RNA-seq to investigate the transcriptomic changes in mouse spinal cord at 3 days post-contusion injury, and to evaluate the effects of Syringin treatment (50 mg/kg daily for 3 days) compared to PBS control.",spinal cord injury AND RNA-seq
GSE310939,C9orf72 Hexanucleotide Repeat RNA Drives Transcriptional Dysregulation Through Genome-wide Hybrid G-quadruplexes [ChIRP-seq],Homo sapiens,60,2026/02/24,False,Other,"A hexanucleotide repeat expansion in C9orf72 is the most common genetic cause of amyotrophic lateral sclerosis and frontotemporal dementia. While repeat RNAs are implicated in disease pathogenesis, their mechanisms of actions remain incompletely understood. Here we show that GGGGCC repeat RNA engages chromatin genome-wide preferentially at promoter regions in patient cells. This interaction obstructs RNA polymerase II and transcription factors with GC-rich motifs, leading to broad transcriptional repression. Biochemical assays, single-molecule imaging, and native bisulfite sequencing analyses demonstrate that GGGGCC repeat RNA intrinsically forms DNA:RNA hybrid G-quadruplexes with cognate DNA, providing a structural basis for transcriptional interference. Stabilization of these G-quadruplex structures exacerbates neuronal vulnerability to metabolic stress in patient-derived motor neurons and cortical organoids, whereas restoring key gene dysregulation improves neuronal resistance to stress. These findings uncover a previously unrecognized trans-acting mechanism whereby repetitive RNAs form hybrid structures with genomic DNA, disrupt gene regulation, and contribute to neurodegeneration.",frontotemporal dementia AND RNA-seq
