accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE324475,Transcriptional profiling of CRP-V5 and K52Q-V5 Vibrio cholerae C6706 grown in M9 minimal medium with maltose or trehalose as sole carbon source,Vibrio cholerae C6706,12,2026/03/13,False,Expression profiling by high throughput sequencing,"RNA-seq was performed to compare the transcriptomes of Vibrio cholerae C6706 strains expressing V5-tagged wild-type CRP (CRP-V5) or the acetylation-mimicking mutant K52Q-V5 during growth in M9 minimal medium supplemented with 0.8% maltose or 0.8% trehalose as the sole carbon source. Overnight cultures grown in LB were washed and resuspended in the respective M9 media, then cultivated for approximately 3 hours to mid-exponential phase. Total RNA was extracted and subjected to stranded total RNA sequencing with ribosomal RNA depletion. This dataset complements ChIP-seq and RNA-seq data previously deposited under GSE310654 by examining CRP-dependent transcriptional responses under carbon source-specific conditions.",Vibrio cholerae[organism]
GSE253813,"Transcriptome analysis of Rv0043c, Rv0165c, and Rv3060c deletion in Mycobacterium tuberculosis",Mycobacterium tuberculosis H37Rv,8,2026/03/01,False,Expression profiling by high throughput sequencing,"Using Total RNA sequencing, We report the effects of deleting either Rv0043c, Rv0165c, and Rv3060c on the transcriptome of M. tuberculosis. For RNA-seq experiments, mid-log phase cultures (OD600nm ~ 0.8) of H37Rv, ΔRv0043c, ΔRv0165c, and ΔRv3060c M. tuberculosis strains were harvested by centrifugation, washed twice with 1x PBS and lysed by bead beating in Trizol. Total RNA was extracted using Qiagen RNA isolation kit as per manufacturer’s instructions. The samples were shipped to AgriGenome Labs Private Limited for RNA-seq analysis.",Mycobacterium tuberculosis[organism] AND RNA-seq
GSE291968,Transcriptomics analysis of an EMS-induced bacterial blight resistant line of rice,Oryza sativa,12,2026/03/01,False,Expression profiling by high throughput sequencing,"An induced-mutant line derived from the elite rice cultivar, Samba Mahsuri, was identified to exhibit broad-spectrum resistance to BB. Using next-generation gene mapping approaches, we identified a genomic interval in chromosome 6 to be linked to BB resistance. Analysis of the SNPs in the locus and subsequent linkage analysis indicated that a missense SNP located in the second exon of the Mitogen-Activated Protein Kinase 6 (OsMAPK6) could be the causal mutation. A detailed examination of OsMAPK6 gene sequences in over 4000 rice genomes revealed that the mutant allele identified in this study is novel to rice germplasm. The candidate SNP causes the substitution of an invariant Serine residue with a Proline residue (S84P), thus likely affecting the protein function. Global transcriptome, metabolome, biochemical, and molecular analyses suggested that BB42 exhibit autoimmunity.",Oryza sativa[organism] AND bacterial blight
GSE318138,"Arsenic-induced transcriptional interference generates arm-wide γH2A, with distinct telomeric and centromeric responses",Saccharomyces cerevisiae,114,2026/02/04,False,Genome binding/occupancy profiling by high throughput sequencing,"Arsenic is a widespread environmental carcinogen, yet how exposure promotes tumorigenesis remains unclear. Prevailing models attribute arsenic genotoxicity to reactive oxygen species and replication-associated DNA breaks. Using calibrated γH2A mapping and genetics in budding yeast, we show that As(III) rapidly elicits a diffuse, chromosome-arm-spanning γH2A response that is replication-independent and occurs without oxidative stress. Instead, arsenic reduces RNA polymerase II chromatin occupancy and promotes loss of the Rpb1 subunit, consistent with acute transcriptional interference. We propose that transcription stress generates transient ssDNA intermediates that activate DNA damage signaling and require homologous recombination (HR) for resolution. Notably, the response is domain-specific: As(III) dampens subtelomeric γH2A while increasing telomere-proximal HR, and it promotes HR-factor recruitment together with Pol ε accumulation at centromeres. In human cells, short-term As(III) activates ATR and induces RPA foci and γH2AX. Together, these findings shift the early trigger of arsenic genotoxicity from ROS-driven breaks to transcription-linked ssDNA signaling.",arsenic AND human AND gene expression
GSE317753,Genome-wide identification and tissue-specific profiling of microRNAs in lentil (Lens culinaris Medik.),Lens culinaris,20,2026/02/01,False,Non-coding RNA profiling by high throughput sequencing,"MicroRNAs (miRNAs) are key post-transcriptional regulators that influence plant development, metabolism, and stress adaptation. Despite the agronomic importance of lentil (Lens culinaris Medik.), its miRNA landscape remains poorly characterized. This study aimed to establish a comprehensive, tissue-specific atlas of conserved and novel miRNAs to improve understanding of gene regulation in lentil. Small RNA libraries from seven tissues—root, shoot, stem, mature leaf, flower, flower bud, and young pod—were sequenced using the Illumina HiSeq platform, generating over 432 million reads. A total of 1,490 miRNA candidates were identified, comprising 415 conserved and 1,075 novel miRNAs. Among 370 miRNAs with sufficient expression for analysis, 61% showed significant tissue-dependent variation, revealing extensive spatial regulation. Conserved miRNAs such as miR156, miR159, miR164, and miR172 displayed expression patterns consistent with their known developmental roles, whereas most novel miRNAs exhibited tissue-restricted accumulation, particularly in roots and reproductive organs. Predicted target and enrichment analyses indicated that conserved miRNAs primarily regulate transcription factors and hormone signaling components, while novel miRNAs are associated with redox homeostasis, lipid metabolism, and transport processes. This study provides the first comprehensive overview of miRNA expression in lentil, revealing a dual-layer regulatory architecture comprising conserved miRNAs that coordinate core developmental pathways and novel miRNAs that fine-tune tissue-specific and adaptive responses. The expanded lentil miRNA repertoire established here represents a valuable resource for future studies in legumes, including functional, evolutionary, and breeding-related applications.",Lens culinaris[organism]
GPL36558,Illumina HiSeq 2500 (Lens culinaris),Lens culinaris,20,2026/01/27,False,,,Lens culinaris[organism]
GSE316765,Subfamily-level Comparative Transcriptomics of Key Immune Regulators in Plants and Suspension Cells Reveals Novel Rice Blast-resistance Genes,Oryza sativa Japonica Group,18,2026/01/25,False,Expression profiling by high throughput sequencing,"Plants activate pattern-triggered immunity (PTI) through key immune components, including pattern recognition receptors (PRRs), receptor-like cytoplasmic kinases (RLCKs), and transcription factors (TFs), to combat pathogens. However, a comprehensive transcriptional overview of these immune regulators at the subfamily level during biotic stress in rice is currently lacking. The aims of this study were to characterize the expression profiles of OsPRRs, OsRLCKs, and OsTFs and establish a robust pipeline for selecting novel candidate genes involved in plant immunity. We identified differentially expressed genes (DEGs) within these families using transcriptomic data from both rice plants infected with Magnaporthe oryzae infection and rice suspension cell treated with chitin treatment. Our analysis revealed the transcriptional regulation of well-known immune-related subfamilies of OsPRRs, OsRLCKs, and OsTFs, such as RLK-LRR-XII and RLCK-VII, and identified several novel subfamilies with high proportions of DEGs that may contribute to pathogen perception and plant defense. We demonstrated that selecting candidates from overlapping DEGs between plant and suspension cell systems is an effective strategy for screening genes involved in rice immunity. Using this pipeline, novel immune regulators were identified, and their functions were confirmed. Two RLCKs, i.e., OsRLCK298 and OsBSR1, act as positive regulators of immunity against rice blast fungus, whereas two transcription factors, i.e., OsERF65 and OsERF96.2, act as negative regulators. This study provides a valuable transcriptomic resource and establishes a validated pipeline for gene discovery that could be applied to other stress responses and in other plant species.",Oryza sativa[organism] AND stress
GSE264243,Ribo-seq analysis of alternative splicing under PEG treatment in osfkbp20-1b mutant compared to wild-type (ZH11) rice.,Oryza sativa Japonica Group,12,2026/01/24,False,Expression profiling by high throughput sequencing; Other,"To investigate whether intron containing transripts from alternative splicing are abundant in monosome of osfkbp20-1b upon drought stress, we analyzed Ribo-seq to identify the quantitative profiling and alternative splicing.",Oryza sativa[organism] AND stress
GSE264095,Transcriptome analysis of alternative splicing under PEG treatment in osfkbp20-1b mutant compared to wild-type (ZH11) rice,Oryza sativa Japonica Group,12,2026/01/24,False,Expression profiling by high throughput sequencing,"To investigate whether observed changes in pre-mRNA splicing led to OsFKBP20-1b depletion upon drought stress, we analyzed RNA-seq to identify the quantitative profiling and alternative splicing.",Oryza sativa[organism] AND stress
GSE311501,"A 3’UTR-derived small RNA modulates the life-cycle of the cholera toxin-encoding filamentous phage, CTXϕ [RIL-Seq]",Vibrio cholerae,6,2025/12/03,False,Other,"Bacteriophages (phages) are well known to be one of the major driving forces in bacterial evolution. This is also true for virulent microorganisms, such as the major human pathogen Vibrio cholerae, whose pathogenic potential and epidemic proliferation largely depends on the interaction with environmental phages. Specifically, integration of the CTXϕ phage genome into the first chromosome of V. cholerae also involved the ctxAB genes, encoding the principle toxin responsible for the severe acute diarrheal disease, cholera. Whereas the mechanisms underlying CTXϕ-associated horizontal gene transfer and control of the ctxAB genes have been intensively studied over the past years, post-transcriptional regulation affecting the CTXϕ lifecycle has not been documented. Here, we report the discovery and characterization of the CisR small RNA (sRNA) that is produced from the 3’UTR (untranslated region) of the prtV gene and inhibits the expression of the CTXϕ-encoded cep mRNA. CisR-mediated repression of cep involves Hfq-assisted base-pairing of the two transcripts and results in reduced CTXϕ production under stress conditions. We further show that transcription of prtV-cisR requires both, the master quorum sensing transcription factor HapR, as well CRP, which coordinates global carbon metabolism. Taken together, our work provides evidence that V. cholerae employs sRNA-mediated post-transcriptional gene regulation to coordinate CTXϕ activation with both cell density and nutrient availability.",Vibrio cholerae[organism]
