query,accession,title,organism,n_samples,date,has_pub,type,platform,summary
Parkinson's disease AND control AND GPL6244,GSE125234,Modelling G2019S-LRRK2 sporadic Parkinson’s disease in 3D midbrain organoids,Homo sapiens,4.0,2019/02/02,True,Expression profiling by array,6244,"recent advances in generating 3 dimensional (3d) organoid systems from stem cells offer new possibilities for disease modeling. in this study, we generate isogenic 3d midbrain organoids with or without a parkinson’s disease-associated lrrk2 g2019s mutation. lrrk2-g2019s midbrain organoids derived from lrrk2 targeted human ipscs in vitro have lrrk2-associated sporadic parkinson's disease phenotypes. midbrain-like 3d organoids expressing lrrk2-g2019s showed dynamic changes in globle gene expression."
Parkinson's disease AND control AND GPL10558,GSE99473,"SNP Genotype and Gene Expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harboring mutations in the GBA1 gene, and from healthy control donors",Homo sapiens,18.0,2017/06/01,True,Expression profiling by array; SNP genotyping by SNP array; Genome variation profiling by SNP array,13829;10558;22678,this superseries is composed of the subseries listed below.
Parkinson's disease AND control AND GPL10558,GSE99142,"Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harboring mutations in the GBA1 gene, and from healthy control donors",Homo sapiens,5.0,2017/06/01,True,Expression profiling by array,10558,"we have generated human induced pluripotent stem cells (hipsc) using retroviral and sendai virus-mediated delivery of reprogramming factors. hipsc lines have been screened using snp array to assess chromosomal stability (alongside the fibroblast lines from which they derived), and validation of the pluripotency of the hipsc lines is provided by pluritest assessment of transcriptome datasets, prior to differentiation and downstream assays. proteomic analysis of gba1 patient-derived dopaminergic neurons reveal impeded neurite outgrowth."
Parkinson's disease AND control AND GPL10558,GSE89886,"Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring amplification of, or mutations in the SNCA gene, and from healthy control donors",Homo sapiens,32.0,2016/11/16,True,Expression profiling by array; SNP genotyping by SNP array,22678;10558;21168;13829,this superseries is composed of the subseries listed below.
Parkinson's disease AND control AND GPL10558,GSE89883,"Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring amplification of, or mutations in the SNCA gene, and from healthy control donors [gene expression]",Homo sapiens,13.0,2016/11/16,True,Expression profiling by array,10558,"we have generated human induced pluripotent stem cells (hipsc) using sendai virus-mediated delivery of reprogramming factors. hipsc lines have been screened using snp array to assess chromosomal stability (alongside the fibroblast lines from which they derived), and validation of the pluripotency of the hipsc lines is provided by pluritest assessment of transcriptome datasets, prior to differentiation and downstream assays. excess α-synuclein compromises phagocytosis in ipsc-derived macrophages. walther haenseler, federico zambon, heyne lee, jane vowles, federica rinaldi, galbha duggal, henry houlden, katrina gwinn, selina wray, kelvin c. luk, richard wade-martins, william s. james and sally a. cowley"
Parkinson's disease AND control AND GPL10558,GSE78152,"Derivation, characterization, and neuronal differentiation of integration-free induced pluripotent stem cell lines from Parkinsons disease patients carrying SNCA, LRRK2, PARK2, and GBA mutations",Homo sapiens,8.0,2016/02/23,True,Expression profiling by array,10558,"analysis of whole genome expression in control and patients with parkinsons disease ipsc lines. the hypothesis tested in present study was that deficient gba, snca, lrrk2 and parkin expression can be used for disease modeling by their affects on multiple pathways. these results provide information on relationship between pd genes and mitochondria related gene expression."
Parkinson's disease AND control AND GPL10558,GSE77664,Gene expression and SNP genotype data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,12.0,2016/02/09,True,SNP genotyping by SNP array; Expression profiling by array,13829;10558,this superseries is composed of the subseries listed below.
Parkinson's disease AND control AND GPL10558,GSE77663,Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,4.0,2016/02/09,True,Expression profiling by array,10558,"we have generated human induced pluripotent stem cells (hipsc) using retroviral virus-mediated delivery of reprogramming factors. hipsc lines have been screened using snp array to assess chromosomal stability (alongside the fibroblast lines from which they derived), and validation of the pluripotency of the hipsc lines is provided by pluritest assessment of transcriptome datasets, prior to differentiation and downstream assays. gene expression profiling in patient-derived dopamine neurons identifies candidate therapeutic molecules in parkinson’s disease."
Parkinson's disease AND control AND GPL10558,GSE54536,Involvement of endocytosis and alternative splicing in the formation of the pathological process in Parkinson's Disease,Homo sapiens,10.0,2014/01/31,True,Expression profiling by array,10558,we performed a whole-transcriptome analysis of the peripheral blood of untreated patients with stage 1 pd (hoehn–yahr scale).
Parkinson's disease AND control AND GPL10558,GDS5646,Early Parkinson's disease: peripheral blood,Homo sapiens,10.0,2014/01/31,True,Expression profiling by array,10558,"analysis of peripheral blood of untreated patients with stage 1 parkinson's disease (pd), according to the hoehn-yahr scale, and paired healthy, age- and sex-matched controls. results provide insight into molecular mechanisms underlying the initiation of the development of pd."
