accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE291150,Neural Crest Cell Signatures Drive TSC and LAM Tumorigenesis,Mus musculus,7,2026/03/03,False,Expression profiling by high throughput sequencing,"This study was performed to test the hypothesis that neural crest cells (NCCs) are causative cells for multi-systemic neoplasms occurring in Tuberous Sclerosis Complex (TSC) and Lymphangioleiomyomatosis (LAM) disorders. The hypothesis stemmed from the mesenchymal phenotypes of TSC and LAM neoplasms and their occurrence in patients at known ontogenetic destinations for maturing neural crest cells. We determined differential gene expression between single cell populations in wildtype mice renal cortical tissues versus renal cystadenomas of the tuberous sclerosis mice model by RNA sequencing, and validated our findings by immunohistochemistry, RT-qPCR, western blots, and tumorigenicity assays. Based on our results, we pioneer the characterization of cranial NCC-induced tumorigenesis in TSC and LAM and identify the crucial role of novel neurocristopathic markers: secreted phosphoprotein (SPP1) and cytokeratin 18 (Krt18) in disease pathogenesis. Genetic inhibition of Spp1 yields an anti-tumorigenic phenotypes in NCCs.",tuberous sclerosis AND gene expression
GSE315738,Effect of GBA1 deficiency in human iPSC-derived dopaminergic neurons and astrocytes,Homo sapiens,54,2026/01/10,False,Expression profiling by high throughput sequencing,"Mutations in the gene glucosidase, beta acid 1 (GBA1) are the strongest genetic risk factor for Parkinson’s disease (PD) and associate with faster disease progression. GBA1 is expressed in all cell types of the central nervous system, with some evidence supporting higher expression in glial cells than neurons. To elucidate possible divergent functions in neurons versus glia, we differentiated human iPSCs generated from an individual with PD heterozygous for the GBA1 pathogenic null variant IVS2+1 (GBA1IVS/+),Mutations in the gene glucosidase, beta acid 1 (GBA1) are the strongest genetic risk factor for Parkinson’s disease (PD) and associate with faster disease progression. GBA1 is expressed in all cell types of the central nervous system, with some evidence supporting higher expression in glial cells than neurons. To elucidate possible divergent functions in neurons versus glia, we generated human iPSCs from fibroblasts from an individual with PD carrying the GBA1 c.115+1 G>A, also known as IVS2+1 G>A variant (GBA1IVS/+). This intronic GBA1 variant is associated with severe neuronopathic Gaucher’s disease and interrupts the canonical splice site following exon 2, leading to nonsense mediated decay and is therefore considered a null allele. An isogenic GBA1+/+ Rev control was generated by CRISPR/Cas9 genome editing to revert the GBA1 IVS2+1 G>A variant back to wildtype, and in the genome editing process, an iPSC clone homozygous for GBA1 IVS2+1 G>A was also generated (GBA1IVS/IVS). A matched control iPSC clone that remained unedited after CRISPR/Cas9 genome editing, maintaining heterozygosity for GBA1 IVS2+1 G>A, was also isolated (GBA1IVS/+ A4).Transcriptomic analysis of GBA1-deficient neurons and astrocytes revealed cell-type specific profiles. GBA1deficiency in neurons downregulated genes associated with immune response and upregulation of cholesterol synthesis, while GBA1 deficiency in astrocytes downregulated genes associated with translation and upregulated genes involved in extracellular matrix biogenesis, suggestive of gliosis. The transcriptomic profile of GBA1-deficient astrocytes was consistent with neurotoxic reactive astrocytes. Together, these findings indicate that GBA1deficiency has cell type-specific effects, where neurons have increased vulnerability to alterations in endolysosomal trafficking leading to α-synucleinopathy while GBA1 deficiency in astrocytes leads to increased neurotoxic reactivity but not impairment in endolysosomal trafficking and development of a-synuclein pathology.",Gaucher disease AND gene expression
GSE306117,Distinct genomic and immunologic tumor evolution in germline TP53-driven breast cancers,Homo sapiens,74,2026/01/01,False,Expression profiling by high throughput sequencing,"Pathogenic germline TP53 alterations cause Li-Fraumeni Syndrome (LFS), and breast cancer is the most common cancer in LFS females. We performed first of its kind multimodal analysis of LFS breast cancer (LFS-BC) compared to sporadic premenopausal BC. Nearly all LFS-BC underwent biallelic loss of TP53 with no recurrent oncogenic variants except ERBB2 (HER2) amplification. Compared to sporadic BC, in situ and invasive LFS-BC exhibited a high burden of short amplified aneuploid segments (SAAS). Pro-apoptotic p53 target genes BAX and TP53I3 failed to be up-regulated in LFS-BC as was seen in sporadic BC compared to normal breast tissue. LFS-BC had lower CD8+ T-cell infiltration compared to sporadic BC yet higher levels of proliferating cytotoxic T-cells. Within LFS-BC, progression from in situ to invasive BC was marked by an increase in chromosomal instability with a decrease in proliferating cytotoxic T-cells. Our study uncovers critical events in mutant p53-driven tumorigenesis in breast tissue.",Li-Fraumeni syndrome AND RNA-seq
GSE286949,Neuronal hyperactivity becomes mTORC1 independent due to epigenetic changes in Tuberous Sclerosis Complex [RNA-seq],Homo sapiens,96,2025/10/25,False,Expression profiling by high throughput sequencing,"Tuberous Sclerosis Complex (TSC) is caused by variants in either TSC1 or TSC2, which cooperate to inhibit the mechanistic target of rapamycin complex 1 (mTORC1). TSC is associated with neurological disorders that have been attributed to disinhibition of mTORC1, but mechanisms connecting dysregulation of mTORC1 to molecular and physiological changes in neurons remain unclear. In this study, we sought to understand transcriptional changes in TSC and identified down-regulation of the immediate early gene, EGR1, in TSC2-deficient excitatory neurons. Furthermore, we found that activity-dependent transcription is impaired in TSC due to abnormalities in epigenetic maturation. Finally, we determined that mTORC1 inhibition started late in neuronal maturation of human neurons is only partially effective in reversing gene expression changes and ineffective in reducing spontaneous neuronal hyperactivity in TSC. These data demonstrate a critical window in early brain development where mTORC1 dysregulation leads to epigenetic changes that contribute to persistent neuronal abnormalities.",tuberous sclerosis AND gene expression
GSE241596,Iron supplementation in zebrafish models of mucopolysaccharidoses type III,Danio rerio,40,2025/09/01,False,Expression profiling by high throughput sequencing,"Sanfilippo Syndrome Type B, characterized by a deficiency in N-acetylglucosaminidase (NAGLU) enzyme, represents a debilitating genetic disorder which causes childhood dementia. In this study, we employed zebrafish models carrying the naglu A603fs mutation to investigate the potential of intraperitoneal (i.p.) injection of ferric citrate to rescue whole brain transcriptomes relative to an i.p. injection of saline vehicle control. Zebrafish, aged 6 months, were either homozygous (MPS IIIB) and heterozygous (unaffected control) genotypes, and each group was subjected to either ferric citrate or saline injection. A total of 10 fish per genotype and treatment were examined via RNA-seq. Although initial findings identified sex-specific differences in inflammation pathways and regeneration which may be rescued in female samples (but not in males), the sample size of fish per genotype, sex, and treatment limited the ability to draw definitive conclusions.",mucopolysaccharidosis AND RNA-seq
GSE295548,Tumorigenic p53S Balances Aging and Tumorigenesis via Regulating DREAM/MMB and its Downstream Telomere DNA Replication Pathways,Mus musculus,15,2025/04/29,False,Expression profiling by high throughput sequencing,"The Werner Syndrome (WS) is characterized with both premature aging and tumorigenic phenotypes. We introduced a tumorigenic mutation p53S found in immortalized WS mouse embryo fibroblasts (MEFs) back into WS mice to investigate the impact of p53S in telomere dysfunction induced aging process. We found that the introduction of p53S rescued the aging phenotypes of Werner syndrome, showing as the extension of life span, and the delay of organ degeneration. Further studies revealed that the introduction of p53S transcriptionally upregulated DREAM/MMB pathway and its downstream DNA helicase and telomere maintenance proteins, and facilitated the recruitment of these proteins to G4 DNA structures and DNA replication forks, which compensated the loss of Wrn and telomerase function and solved the DNA replication, telomere lengthening, and cell proliferation problems via unwinding G4 structures, which ultimately, rescue the aging phenotypes of WS. Together, our data reveal that certain features of tumorigenesis can be applied to balance with premature aging, rescue aging phenotype without tumor risk. This study suggests a new mechanism and potential tumor-free longevity strategy in aging regulation.",Werner syndrome AND RNA-seq
GSE288965,Phenotypic rescue via mTOR inhibition in neuron-specific Pten knockout mice reveals AKT and mTORC1-site specific changes,Mus musculus,22,2025/02/14,False,Expression profiling by high throughput sequencing,"Phosphatase and Tensin Homolog (PTEN) is a dual-specific protein and lipid phosphatase that regulates AKT and downstream signaling of the mechanistic target of rapamycin (mTOR). PTEN functions as a tumor suppressor gene whose mutations result in PTEN Hamartoma Tumor Syndrome (PHTS) characterized by increased cancer risk and neurodevelopmental comorbidity. Here, we generated a novel neuron-specific Pten knock-out mouse model (Syn-Cre/Pten HOM) to test the ability of pharmacologic mTOR inhibition to rescue Pten mutation-associated disease phenotypes in vivo and in vitro. We found that treatment with the mTOR inhibitor, everolimus, increased the survival of Syn-Cre/Pten HOM mice while some neurologic phenotypes persisted. Transcriptomic analyses revealed that in contrast to mice harboring a neuron-specific deletion of the Tuberous Sclerosis Complex 2 gene (Syn-Cre/Tsc2 KO), genes that are under AKT regulation were significantly increased in the Syn-Cre/Pten HOM mice. In addition, genes associated with synapse, extracellular matrix, and myelination were broadly increased in Syn-Cre/Pten HOM mouse neocortex. These findings were confirmed by immunostaining of cortical sections in vivo, which revealed excessive immunoreactivity of myelin basic protein and perineuronal nets (PNN), the specialized extracellular matrix surrounding fast-spiking parvalbumin (PV) interneurons. We also detected increased expression of Synapsin I/PSD95 positive synapses and network hyperactivity phenotypes in Syn-Cre/Pten HOM mice neurons compared to wild-type (WT) neurons in vitro. Strikingly, everolimus treatment rescued the number of synapses and network hyperactivity in the Syn-Cre/Pten HOM mice cortical neuron cultures. Taken together, our results revealed in vivo and in vitro molecular and neuronal network mechanisms underlying neurological phenotypes of PHTS. Notably, pharmacologic mTOR inhibition by everolimus led to successful downstream signaling rescue, including mTOR complex 1 (mTORC1) site-specific suppression of S6 phosphorylation, correlating with phenotypic rescue found in our novel neuron-specific Syn-Cre/Pten HOM mice.",tuberous sclerosis AND gene expression
GSE267760,tp53 R217H and R242H Mutant Zebrafish Display Dysfunctional p53 Hallmarks and Recapitulate LFS Phenotypes [RNA-seq],Danio rerio,24,2024/05/22,False,Expression profiling by high throughput sequencing,"Li-Fraumeni syndrome (LFS) is a hereditary cancer predisposition syndrome associated with a highly penetrant and diverse tumor spectrum characterized by germline mutations in the TP53 tumor suppressor gene. To better understand how TP53 mutations predispose individuals with LFS to cancer development, we characterized tp53 R217H and R242H zebrafish lines as the first zebrafish p53 hotspot mutants (human R248 and R273H). These mutants have lost several key wildtype p53 functions and recapitulate many LFS phenotypes. Specifically, we have shown that the R217H and R242H alleles result in partial-to-no activation of key p53 target genes, are resistant to apoptosis in a dominant negative manner and exhibit a defective G1 cell-cycle checkpoint in vivo. The loss of these wildtype p53 functions predisposed the fish to develop spontaneous tumors as early as 6 months of age. Tumor histology resembles human sarcomas, a predominant LFS tumor type. tp53 R242H mutants developed tumors earlier with a higher lifetime incidence than tp53 null or R217H mutants, suggesting it is a more aggressive mutation, while the R217H allele may be hypomorphic. Additionally, we observed mutation-specific differences both in the tumor type and sex bias across tp53 null, R217H, and R242H genotypes with associated diverse transcriptomic and DNA methylome profiles, impacting metabolism, cell signalling, and biological macromolecule synthesis and degradation. These tp53 zebrafish mutants demonstrate fidelity to their human counterparts and provide new insights into underlying tumorigenesis mechanisms and kinetics, which may inform more tailored tumor surveillance approaches and novel therapeutic targets in LFS.",Li-Fraumeni syndrome AND RNA-seq
GSE248188,p21 Regulates Wnt-Notch Balance via DREAM/MMB/Rb-E2F1 and Maintains Intestinal Stem Cell Homeostasis,Mus musculus,6,2023/12/10,False,Expression profiling by high throughput sequencing,"The crosstalk and balance regulation of Wnt-Notch have been known to be essential for cell fate decision and tissue regeneration, while how the balance is maintained and how the Wnt-Notch pathways are connected with the cell cycle regulation are still not clear. In the mouse model with accelerated aging phenotypes due to the loss of cell cycle inhibitor p21 function in Werner syndrome background, we observed the imbalance of Wnt-Notch signaling, along with the fast turnover of intestinal epithelia, which might cause the abnormal mobilization of stem cells, exhaust the stem cell reservoir, and result in the accelerated aging phenotypes. We revealed that the loss of p21 caused the shift of DREAM/Rb complex to MMB/E2F1 complex and the fast turnover of intestinal epithelia. Importantly, we identified the E2F1 as the transcriptional regulator for Notch1, which connected the p21-DREAM/MMB/Rb-E2F1 pathway with Wnt-Notch pathway. The overexpression of p21 rescued the imbalance of Wnt-Notch pathway. Our data identify p21 as an important factor in maintaining sequential mobilization, proliferation, and homeostasis of intestinal stem cells.",Werner syndrome AND RNA-seq
GSE222547,AtDGCR14L contributes to salt-stress tolerance via regulating pre-mRNA splicing in Arabidopsis,Arabidopsis thaliana,17,2023/09/06,False,Expression profiling by high throughput sequencing,"In plants, pre-mRNA alternative splicing has been demonstrated to be a crucial tier that regulates gene expression in response to salt stress. However, the underlying mechanisms remain elusive. Here, we studied the roles of DIGEORGE-SYNDROME CRITICAL REGION 14-like (AtDGCR14L) in regulating pre-mRNA splicing and salt stress tolerance. We discovered that Arabidopsis AtDGCR14L is required for maintaining plant salt stress tolerance and the constitutively spliced and active isoforms of important stress- and/or abscisic acid (ABA)-responsive genes. We also identified the interaction between AtDGCR14L and splicing factor U1-70k, which needs a highly conserved three amino acid (TWG) motif in DGCR14. Different from wild-type AtDGCR14L, the overexpression of the TWG-substituted AtDGCR14L mutant did not change salt stress tolerance or pre-mRNA splicing of stress/ABA-responsive genes. Additionally, SWITCH3A (SWI3A) is a core subunit of the SWI/SUCROSE NONFERMENTING (SWI/SNF) chromatin-remodeling complexes. We found that SWI3A, whose splicing depends on AtDGCR14L, actively enhances salt stress tolerance. These results revealed that AtDGCR14L may play an essential role in crosstalk between plant salt-stress response and pre-mRNA splicing mechanisms. We also unveiled the potential role of SWI3A in controlling salt stress tolerance. The TWG motif in the intrinsically disordered region of AtDGCR14L is highly conserved and crucial for DGCR14 functions.",DiGeorge syndrome AND gene expression
